RELEVE NUMBER,FIELD RELEVE NUMBER,DATE (YEARMONTHDAY),RELEVE AREA (M2),RELEVE SHAPE,COVERSCALE,REPEAT SAMPLED (Y/N),COLLECTION,COLLECTION METHOD,SYNTAXON CODE,SYSTEM FOR PLANT COMMUNITY NAME,PLANT COMMUNITY NAME,AUTHOR CODE,REFERENCE FOR SPECIES DATA,TABLE NUMBER FOR SPECIES DATA,NUMBER OF RELEVE IN TABLE,REFERENCE FOR ENVIRONMENTAL DATA,TABLE NUMBER FOR ENVIRONMENTAL DATA,SUBZONE,COUNTRY CODE,DATASET,REGION,LOCATION,PHYSIOGRAPHIC DIVISION,PHYSIOGRAPHIC REGION SOURCE,GEOREFERENCE (Y/N),GEOREFERENCE SOURCE,GEOREFERENCE ACCURACY (M),LATITUDE WGS 84 (DD),LONGITUDE WGS 84 (DD),ALTITUDE (M),SLOPE (DEGREES),ASPECT (DEGREES),TOPOGRAPHIC POSITION,SURFICIAL GEOLOGY,HABITAT TYPE ,SITE MOISTURE,DISTURBANCE,ORGANIC LAYER DEPTH (CM),SOIL TEXTURE  TOP MINERAL HORIZON,SOIL PH (at 10 cm),MOSSES IDENTIFIED (Y/N),LIVERWORTS IDENTIFIED (Y/N),LICHENS IDENTIFIED (Y/N),VASCULAR PLANT TAXONOMIC QUALITY ,CRYPTOGAM TAXONOMIC QUALITY,COVER TREE LAYER (%),COVER SHRUB LAYER (%),COVER TALL SHRUBS (%),COVER LOW SHRUBS (%),COVER ERECT DWARF-SHRUBS (%),COVER PROSTRATE DWARF-SHRUBS (%),COVER GRAMINOIDS (%),COVER TUSSOCK GRAMINOIDS (%),COVER FORBS (%),COVER SEEDLESS VASCULAR PLANTS (%),COVER MOSSES & LIVERWORTS (%),COVER LICHEN LAYER (%),COVER CRUST(%),COVER ALGAE LAYER (%),COVER BARE SOIL (%),COVER BARE ROCK (%),COVER OPEN WATER (%),COVER LITTER LAYER (%),COVER TOTAL (%),MEAN CANOPY HEIGHT (CM),MEAN TREE LAYER HEIGHT (CM),MEAN SHRUB LAYER HEIGHT (CM),MEAN HERB LAYER HEIGHT (CM),MEAN MOSS LAYER HEIGHT (CM),REBMARKS
21127,44,,,S,1,N,R,,,B-B,Stellario edwardsii–Hylocomietum alaskani subass. saxifragetosum cespitosae,NM,43,2,25,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,2,180,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,25,3,,,,,,,60,,0,0,,,
21128,45,,,S,1,N,R,,,B-B,Stellario edwardsii–Hylocomietum alaskani subass. saxifragetosum cespitosae,NM,43,2,26,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,2,360,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,50,10,,,,,,,70,,0,0,,,
21129,46,,,S,1,N,R,,,B-B,Stellario edwardsii–Hylocomietum alaskani subass. saxifragetosum cespitosae,NM,43,2,22,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,2,135,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,30,5,,,,,,,40,,0,0,,,
21130,47,,,S,1,N,R,,,B-B,Stellario edwardsii–Hylocomietum alaskani subass. saxifragetosum cespitosae,NM,43,2,27,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,0,-1,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,30,10,,,,,,,40,,0,0,,,
21131,48,,,S,1,N,R,,,B-B,Stellario edwardsii–Hylocomietum alaskani subass. saxifragetosum cespitosae,NM,43,2,19,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,2,180,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,40,10,,,,,,,50,,0,0,,,
21132,49,,,S,1,N,R,,,B-B,Stellario edwardsii–Hylocomietum alaskani subass. saxifragetosum cespitosae,NM,43,2,23,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,0,-1,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,20,10,,,,,,,30,,0,0,,,
21133,50,,,S,1,N,R,,,B-B,Stellario edwardsii–Hylocomietum alaskani subass. saxifragetosum cespitosae,NM,43,2,20,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,3,180,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,30,5,,,,,,,30,,0,0,,,
21134,91,,,S,1,N,R,,,B-B,Stellario edwardsii–Hylocomietum alaskani subass. typicum,NM,43,2,32,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,0,-1,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,50,25,,,,,,,80,,0,0,,,
21135,92,,,S,1,N,R,,,B-B,Stellario edwardsii–Hylocomietum alaskani subass. typicum,NM,43,2,31,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,2,180,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,50,25,,,,,,,95,,0,0,,,
21136,93,,,S,1,N,R,,,B-B,Stellario edwardsii–Hylocomietum alaskani subass. typicum,NM,43,2,34,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,2,180,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,40,40,,,,,,,95,,0,0,,,
21137,94,,,S,1,N,R,,,B-B,Stellario edwardsii–Hylocomietum alaskani subass. typicum,NM,43,2,39,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,4,180,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,30,20,,,,,,,50,,0,0,,,
21138,95,,,S,1,N,R,,,B-B,Stellario edwardsii–Hylocomietum alaskani subass. typicum,NM,43,2,36,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,5,180,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,40,50,,,,,,,90,,0,0,,,
21139,96,,,S,1,N,R,,,B-B,Stellario edwardsii–Hylocomietum alaskani subass. typicum,NM,43,2,29,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,3,180,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,50,10,,,,,,,60,,0,0,,,
21140,97,,,S,1,N,R,,,B-B,Stellario edwardsii–Hylocomietum alaskani subass. typicum,NM,43,2,33,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,0,-1,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,50,10,,,,,,,60,,0,0,,,
21141,101,,,S,1,N,R,,,B-B,Stellario edwardsii–Hylocomietum alaskani subass. typicum,NM,43,2,35,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,1,23,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,20,10,,,,,,,50,,0,0,,,
21142,102,,,S,1,N,R,,,B-B,Stellario edwardsii–Hylocomietum alaskani subass. typicum,NM,43,2,37,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,3,270,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,60,20,,,,,,,80,,0,0,,,
21143,103,,,S,1,N,R,,,B-B,Stellario edwardsii–Hylocomietum alaskani subass. typicum,NM,43,2,38,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,3,270,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,60,30,,,,,,,90,,0,0,,,
21144,98,,,S,1,N,R,,,B-B,Stellario edwardsii–Hylocomietum alaskani subass. typicum,NM,43,2,30,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,3,180,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,50,20,,,,,,,70,,0,0,,,
21145,109,,,S,1,N,R,,,B-B,,NM,43,,,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,4,360,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,10,30,,,,,,,70,,0,0,,,
21146,108,,,S,1,N,R,,,B-B,,NM,43,,,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,,,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,,,,,,,,,,,0,0,,,
21147,71,,,S,1,N,R,,,B-B,Scapanio–Dupontietum fisheri,NM,43,5,2,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,0,,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,100,r,,,,,,,100,,0,0,,,
21148,72,,,S,1,N,R,,,B-B,Scapanio–Dupontietum fisheri,NM,43,5,1,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,0,,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,60,r,,,,,,,70,,0,0,,,
21149,73,,,S,1,N,R,,,B-B,Scapanio–Dupontietum fisheri,NM,43,5,4,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,0,,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,80,r,,,,,,,90,,0,0,,,
21150,74,,,S,1,N,R,,,B-B,Scapanio–Dupontietum fisheri,NM,43,5,9,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,3,225,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,80,r,,,,,,,90,,0,0,,,
21151,75,,,S,1,N,R,,,B-B,Scapanio–Dupontietum fisheri,NM,43,5,10,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,2,225,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,85,+,,,,,,,95,,0,0,,,
21152,76,,,S,1,N,R,,,B-B,Scapanio–Dupontietum fisheri,NM,43,5,3,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,2,225,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,80,+,,,,,,,90,,0,0,,,
21153,77,,,S,1,N,R,,,B-B,Scapanio–Dupontietum fisheri,NM,43,5,7,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,3,225,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,80,+,,,,,,,90,,0,0,,,
21154,78,,,S,1,N,R,,,B-B,Scapanio–Dupontietum fisheri,NM,43,5,8,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,0,,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,100,+,,,,,,,100,,0,0,,,
21155,79,,,S,1,N,R,,,B-B,Scapanio–Dupontietum fisheri,NM,43,5,6,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,0,,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,80,+,,,,,,,100,,0,0,,,
21156,80,,,S,1,N,R,,,B-B,Scapanio–Dupontietum fisheri,NM,43,5,5,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,3,180,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,50,+,,,,,,,70,,0,0,,,
21157,81,,,S,1,N,R,,,B-B,Siphulo ceratites–Marsupelletum arcticae,NM,43,5,11,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,5,180,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,90,20,,,,,,,95,,0,0,,,
21158,82,,,S,1,N,R,,,B-B,Siphulo ceratites–Marsupelletum arcticae,NM,43,5,19,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,3,225,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,50,10,,,,,,,50,,0,0,,,
21159,83,,,S,1,N,R,,,B-B,Siphulo ceratites–Marsupelletum arcticae,NM,43,5,16,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,0,,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,50,5,,,,,,,60,,0,0,,,
21160,84,,,S,1,N,R,,,B-B,Siphulo ceratites–Marsupelletum arcticae,NM,43,5,12,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,3,225,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,80,5,,,,,,,90,,0,0,,,
21161,85,,,S,1,N,R,,,B-B,Siphulo ceratites–Marsupelletum arcticae,NM,43,5,14,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,3,225,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,100,+,,,,,,,100,,0,0,,,
21162,86,,,S,1,N,R,,,B-B,Siphulo ceratites–Marsupelletum arcticae,NM,43,5,18,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,4,225,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,100,r,,,,,,,100,,0,0,,,
21163,87,,,S,1,N,R,,,B-B,Siphulo ceratites–Marsupelletum arcticae,NM,43,5,13,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,4,225,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,80,30,,,,,,,90,,0,0,,,
21164,88,,,S,1,N,R,,,B-B,Siphulo ceratites–Marsupelletum arcticae,NM,43,5,17,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,,,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,,,,,,,,,,,0,0,,,
21165,89,,,S,1,N,R,,,B-B,Siphulo ceratites–Marsupelletum arcticae,NM,43,5,15,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,,,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,,,,,,,,,,,0,0,,,
21166,131,,,S,1,N,R,,,B-B,Siphulo ceratites–Gymnomitrietum corallioidis,NM,43,5,21,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,1,180,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,50,50,,,,,,,100,,0,0,,,
21167,132,,,S,1,N,R,,,B-B,Siphulo ceratites–Gymnomitrietum corallioidis,NM,43,5,20,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,1,180,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,50,50,,,,,,,100,,0,0,,,
21168,133,,,S,1,N,R,,,B-B,Siphulo ceratites–Gymnomitrietum corallioidis,NM,43,5,22,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,3,180,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,40,60,,,,,,,100,,0,0,,,
21169,134,,,S,1,N,R,,,B-B,Siphulo ceratites–Gymnomitrietum corallioidis,NM,43,5,23,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,1,180,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,60,40,,,,,,,100,,0,0,,,
21170,135,,,S,1,N,R,,,B-B,Siphulo ceratites–Gymnomitrietum corallioidis,NM,43,5,24,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Solnechnaya Bay",,,Y,GPS,5000,78.21666667,103.25,,2,180,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,60,10,,,,,,,70,,0,0,,,
21171,221,,,S,1,N,R,,,B-B,Hygrohypno polari–Saxifragetum hyperboreae,NM,43,8,8,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Golysheva River",,,Y,GPS,2000,78.43333333,104.4666667,,0,,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,10,+,,,,,,,10,,0,0,,,
21172,222,,,S,1,N,R,,,B-B,Hygrohypno polari–Saxifragetum hyperboreae,NM,43,8,9,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Golysheva River",,,Y,GPS,2000,78.43333333,104.4666667,,0,,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,10,+,,,,,,,10,,0,0,,,
21173,223,,,S,1,N,R,,,B-B,Hygrohypno polari–Saxifragetum hyperboreae,NM,43,8,10,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Golysheva River",,,Y,GPS,2000,78.43333333,104.4666667,,0,,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,10,+,,,,,,,10,,0,0,,,
21174,224,,,S,1,N,R,,,B-B,Hygrohypno polari–Saxifragetum hyperboreae,NM,43,8,4,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Golysheva River",,,Y,GPS,2000,78.43333333,104.4666667,,0,,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,15,+,,,,,,,15,,0,0,,,
21175,225,,,S,1,N,R,,,B-B,Hygrohypno polari–Saxifragetum hyperboreae,NM,43,8,7,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Golysheva River",,,Y,GPS,2000,78.43333333,104.4666667,,0,,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,10,+,,,,,,,10,,0,0,,,
21176,226,,,S,1,N,R,,,B-B,Hygrohypno polari–Saxifragetum hyperboreae,NM,43,8,1,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Golysheva River",,,Y,GPS,2000,78.43333333,104.4666667,,0,,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,10,+,,,,,,,10,,0,0,,,
21177,227,,,S,1,N,R,,,B-B,Hygrohypno polari–Saxifragetum hyperboreae,NM,43,8,5,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Golysheva River",,,Y,GPS,2000,78.43333333,104.4666667,,0,,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,5,+,,,,,,,5,,0,0,,,
21178,228,,,S,1,N,R,,,B-B,Hygrohypno polari–Saxifragetum hyperboreae,NM,43,8,6,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Golysheva River",,,Y,GPS,2000,78.43333333,104.4666667,,0,,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,5,+,,,,,,,5,,0,0,,,
21179,229,,,S,1,N,R,,,B-B,Hygrohypno polari–Saxifragetum hyperboreae,NM,43,8,2,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Golysheva River",,,Y,GPS,2000,78.43333333,104.4666667,,0,,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,5,+,,,,,,,5,,0,0,,,
21180,230,,,S,1,N,R,,,B-B,Hygrohypno polari–Saxifragetum hyperboreae,NM,43,8,3,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Golysheva River",,,Y,GPS,2000,78.43333333,104.4666667,,0,,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,10,10,,,,,,,20,,0,0,,,
21181,231,,,S,1,N,R,,,B-B,Hygrohypno polari–Saxifragetum hyperboreae,NM,43,8,11,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Golysheva River",,,Y,GPS,2000,78.43333333,104.4666667,,0,,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,20,+,,,,,,,20,,0,0,,,
21182,232,,,S,1,N,R,,,B-B,Phippsio algidae–Aulacomnietum turgidi,NM,43,8,19,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Golysheva River",,,Y,GPS,2000,78.43333333,104.4666667,,0,,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,1,+,,,,,,,2,,0,0,,,
21183,233,,,S,1,N,R,,,B-B,Phippsio algidae–Aulacomnietum turgidi,NM,43,8,20,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Golysheva River",,,Y,GPS,2000,78.43333333,104.4666667,,0,,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,15,+,,,,,,,15,,0,0,,,
21184,234,,,S,1,N,R,,,B-B,Phippsio algidae–Aulacomnietum turgidi,NM,43,8,17,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Golysheva River",,,Y,GPS,2000,78.43333333,104.4666667,,1,135,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,50,10,,,,,,,60,,0,0,,,
21185,235,,,S,1,N,R,,,B-B,Phippsio algidae–Aulacomnietum turgidi,NM,43,8,15,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Golysheva River",,,Y,GPS,2000,78.43333333,104.4666667,,1,135,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,50,15,,,,,,,70,,0,0,,,
21186,236,,,S,1,N,R,,,B-B,Phippsio algidae–Aulacomnietum turgidi,NM,43,8,16,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Golysheva River",,,Y,GPS,2000,78.43333333,104.4666667,,1,135,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,40,10,,,,,,,50,,0,0,,,
21187,237,,,S,1,N,R,,,B-B,Phippsio algidae–Aulacomnietum turgidi,NM,43,8,12,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Golysheva River",,,Y,GPS,2000,78.43333333,104.4666667,,,,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,25,5,,,,,,,30,,0,0,,,
21188,238,,,S,1,N,R,,,B-B,Phippsio algidae–Aulacomnietum turgidi,NM,43,8,14,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Golysheva River",,,Y,GPS,2000,78.43333333,104.4666667,,2,135,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,10,1,,,,,,,10,,0,0,,,
21189,239,,,S,1,N,R,,,B-B,Phippsio algidae–Aulacomnietum turgidi,NM,43,8,18,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Golysheva River",,,Y,GPS,2000,78.43333333,104.4666667,,1,135,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,5,+,,,,,,,5,,0,0,,,
21190,240,,,S,1,N,R,,,B-B,Phippsio algidae–Aulacomnietum turgidi,NM,43,8,13,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Golysheva River",,,Y,GPS,2000,78.43333333,104.4666667,,1,135,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,20,20,,,,,,,40,,0,0,,,
21191,241,,,S,1,N,R,,,B-B,Phippsio algidae–Aulacomnietum turgidi,NM,43,8,24,,,A,RU,Bolshevik_island,27,"Russia, Severnaya Zemlya archipelago, Bolshevik Island, Golysheva River",,,Y,GPS,2000,78.43333333,104.4666667,,2,90,,,,,NAT,,,,Y,Y,Y,1,1,0,0,0,0,,,,,,,10,1,,,,,,,10,,0,0,,,
